Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms
D,Road,-0.10572580142598628,-1.4194733078210093,0.9797275069298078,-1.301957524252269,medium,F,0.8467754863679547,0.12715668009257103
B,Ship,-0.9554182055352116,-0.7107425798766771,0.15052436608539407,-1.301957524252269,medium,M,0.8467754863679547,0.317125367998777
D,Ship,-0.9554182055352116,1.4154496039563198,-1.1762006592656677,0.7205100556800282,medium,F,-1.1265443809819906,0.42444534103669856
D,Ship,-0.10572580142598628,-0.7107425798766771,0.15052436608539407,-1.301957524252269,low,F,1.974386839139352,-0.5272484428570541
F,Ship,-0.10572580142598628,0.7067188760119876,-1.2591209733501092,1.731743845646177,medium,M,0.8467754863679547,1.1510138941325123
C,Ship,0.743966602683239,-0.0020118519323447577,0.2749048372120561,1.731743845646177,medium,M,-1.1265443809819906,-1.225445049057785
B,Ship,-0.9554182055352116,-0.0020118519323447577,0.751696643197594,-0.2907237342861204,low,M,0.8467754863679547,0.6421691943837463
D,Ship,0.743966602683239,-0.0020118519323447577,-0.09823657616793004,0.7205100556800282,medium,F,0.282969809982256,-0.787530216546726
F,Ship,1.5936590067924643,1.4154496039563198,0.5443958579864906,-0.2907237342861204,low,M,-0.5627387045962919,0.7815618030421961
A,Ship,-0.10572580142598628,0.7067188760119876,0.6065860935498216,-0.2907237342861204,low,M,1.128678324560804,-0.3853887083816405
F,Flight,-0.10572580142598628,-1.4194733078210093,-0.5128381465901369,-0.2907237342861204,medium,M,-0.2808358664034426,0.11173714373654782
A,Ship,-0.10572580142598628,0.7067188760119876,0.31636499425427683,1.731743845646177,medium,F,0.282969809982256,-1.3790236311637762
D,Flight,-0.9554182055352116,0.7067188760119876,0.751696643197594,-0.2907237342861204,low,F,-0.8446415427891413,-0.9750317786359681
A,Ship,-0.9554182055352116,-0.0020118519323447577,0.8760771143242561,-0.2907237342861204,medium,M,0.5648726481751054,0.07287991211936933
A,Ship,-0.10572580142598628,-0.7107425798766771,-1.4456916800401023,1.731743845646177,low,F,-0.8446415427891413,1.1442292981358622
D,Ship,0.743966602683239,1.4154496039563198,-0.09823657616793004,-1.301957524252269,low,F,-0.8446415427891413,0.24434515639834745
F,Ship,-0.9554182055352116,0.7067188760119876,-1.010360031096785,-1.301957524252269,medium,F,0.5648726481751054,0.2024040175099643
F,Flight,0.743966602683239,0.7067188760119876,-1.487151837082323,-1.301957524252269,high,M,0.282969809982256,0.8568091404595894
